node	descendants	informative_sites
237405	Switzerland/SO-ETHZ-531157/2020|EPI_ISL_1361069|2021-03-08,England/CAMC-106319C/2021|OD978741.1|2021-01-15,England/LOND-E53AE/2021|21-01-11,Italy/SAR-Cagliari14/2021|EPI_ISL_1663404|2021-02-26,England/BHRT-24B8FE2/2021|21-02-18,England/PHEC-1566DB/2021|21-01-18,England/MILK-130477A/2021|OU016537.1|2021-02-20,England/QEUH-D12B3A/2020|OD924341.1|2020-12-26,England/MILK-E06B29/2020|OD926783.1|2020-12-28,Italy/ABR-IZSGC-91406/2021|EPI_ISL_1117472|2021-02-16	4964,11296,12162,17615,21294,21295,21296
237406	England/CAMC-C98F7D/2020|OD915010.1|2020-12-18,England/CAMC-C98F8C/2020|OD915023.1|2020-12-18,England/CAMC-C98F9B/2020|OD914816.1|2020-12-18	4964,11296,12162,17615,21294,21295,21296
237605	Italy/USAFSAM-S1610/2021|EPI_ISL_1711193|2021-03-18,Italy/VEN-USAFSAM-S1600/2021|EPI_ISL_1711194|2021-03-23	4964,5025,9096,9103,9344,11296,12162,13356,13768,17615,19572,24374,25460,26520,27398,29753,29782,29783,29786,17762,21901,25566,2110,7042,10195,11291,14120,22530,28075,28095
238320	USA/MA-CDC-ASC210048705/2021|MZ084553.1|2021-04-06,USA/MA-CDC-ASC210024371/2021|MZ158902.1|2021-03-28,USA/MA-CDC-ASC210070991/2021|MZ214814.1|2021-04-14,USA/MA-CDC-ASC210011350/2021|MW966981.1|2021-03-17,USA/FL-BPHL-3005/2021|EPI_ISL_2277698|2021-04-21,USA/MA-CDC-QDX22783214/2021|MW865161.1|21-03-09,USA/MA-CDC-ASC210012517/2021|MW906951.1|21-03-19,USA/MA-CDC-STM-000053351/2021|MZ059377.1|21-04-09,USA/MA-CDC-QDX24632833/2021|MZ288653.1|2021-05-03,USA/MA-CDC-ASC210012390/2021|MW968126.1|2021-03-19	313,335,913,3267,4964,5477,6706,6954,7224,11296,12162,14676,15279,15438,17615,19524,21234,21770,23271,23604,24506,28111,28280,28281,28282,28977,29524,23709,27972,2110,14120,19390,829,5388,5986,7767,8047,12988,14697,15598,16176,17104,18028,18176,20268,22127,23876,24910,24914
238370	USA/CT-CDC-LC0048051/2021|MZ072000.1|2021-04-13,USA/MA-CDC-LC0039952/2021|MZ035992.1|2021-04-02	313,335,913,3267,4964,5477,6706,6954,7224,11296,12162,14676,15279,15438,17615,19524,21234,21770,23271,23604,24506,28111,28280,28281,28282,28977,29524,23709,27972,2110,14120,19390,829,5388,5986,7767,8047,12988,14697,15598,16176,17104,18028,18176,20268,22127,23876,24910,24914
238779	England/CAMC-D37953/2020|OD922667.1|2020-12-26,England/MILK-1282793/2021|OD989165.1|2021-02-09,England/ALDP-E89502/2021|OD931156.1|2021-01-02,England/MILK-E0BA90/2020|OD926947.1|2020-12-29,England/CAMC-127F508/2021|OD988278.1|2021-02-12,England/MILK-FAFC88/2021|OD938201.1|2021-01-06,England/LOND-13237DF/2021|21-01-12,England/PORT-2E63E7/2021|21-01-29,England/LOND-132688E/2021|21-01-24,England/NORT-2907A4/2021|21-01-13	3177,4420,4421,4422,8084,11296,12919,17615,28675,5944,12049,15096,17337,18018,28095,28884,2110,14120,23031
239247	England/CAMC-129916E/2021|OD993637.1|2021-02-13,England/CAMC-126326A/2021|OD983042.1|2021-02-10,England/CAMC-12938C9/2021|OD985224.1|2021-02-13,England/CAMC-1298E2C/2021|OD993605.1|2021-02-13	3177,4420,4421,4422,8084,11296,12919,17615,28675,5944,12049,15096,17337,18018,28095,28884,2110,14120,23031,1684
239320	England/PHEC-30B248/2021|21-04-26,USA/CA-CDC-QDX23571748/2021|MW964848.1|21-03-30,Spain/NC-CHN-01001766/2021|EPI_ISL_1746372|2021-03-30,Spain/NC-CHN-01002200/2021|EPI_ISL_1922190|2021-04-15,Spain/MD-IBV-99013645/2021|EPI_ISL_853009|2021-01-07,Norway/11116/2021|EPI_ISL_2226077|2021-04-26,England/PHEC-14E8EF/2020|20-12-13,Spain/NC-CHN-01001740/2021|EPI_ISL_1746351|2021-03-30,England/MILK-E0B6BA/2020|OD927173.1|2020-12-28,France/ARA-HCL990000158817/2021|EPI_ISL_1265772|2021-02-18	559,2106,7029,10893,11291,17007,17615,19079,19854,21579,21770,29738,29745,29747,29748
239510	France/NOR-IPP10940/2021|EPI_ISL_2029806|2021-04-27,France/IDF-IPP06738/2021|EPI_ISL_1465612|2021-03-17,France/NOR-76254182/2021|EPI_ISL_1706428|2021-04-04,France/IDF-HMN-21022080561/2021|EPI_ISL_1110151|2021-02-07,France/IDF-IPP06851/2021|EPI_ISL_1463514|2021-03-16,Switzerland/GE-33738948/2021|EPI_ISL_1533120|2021-04-01,France/un-HMN-21022230282/2021|EPI_ISL_1085244|2021-02-16,France/IDF-IPP05466/2021|EPI_ISL_1554892|2021-03-15,France/NOR-HMN-21052120323/2021|EPI_ISL_2228747|2021-05-11,France/IDF-IPP04518/2021|EPI_ISL_1262731|2021-03-02	559,2106,7029,10893,11291,17007,17615,19079,19854,21579,21770,29738,29745,29747,29748
239616	Ireland/KK-NVRL-21IRL55629/2021|EPI_ISL_1252052|2021-03-01,England/CAMC-10BF52C/2021|OD948376.1|2021-01-19,England/CAMC-10FA789/2021|OD950157.1|2021-01-20,England/MILK-E649D4/2020|OD928482.1|2020-12-31,Italy/EMR-UOM-PVS_0005/2021|EPI_ISL_1791457|2021-01-31,Slovakia/srUVZ_PL5_G9/2021|EPI_ISL_1520245|2021-03-17,England/CAMC-C99D18/2020|OD914862.1|2020-12-18,Italy/VEN-IZSVe-21RS85-4_VE/2020|EPI_ISL_977156|2020-12-27,England/ALDP-F74AEC/2020|OD944537.1|2020-12-31,England/LOND-1323405/2021|21-01-11	4543,7097,10036,11288,11291,11296,17615,19079,19207,19854,22227,28744,29440,25621,28732,3177,9300,21766,21768,21770,21992,21993,28274,28275,28281,21767
239636	Finland/HEL-11-127/2021|EPI_ISL_1279092|2021-01-15,Finland/HEL-18-481/2021|EPI_ISL_1082048|2021-01-23	6954,14676,19079,23271,24506,28280,28281,28282,28559,28744,29077
239650	Finland/3207/2021|EPI_ISL_2030987|2021-02-22	913,3267,5986,15279,17615,19079,19854,23063,23403,23709,24506,28559,28744
239664	Finland/1210/2021|EPI_ISL_1496851|2021-02-06,Finland/2614/2021|EPI_ISL_1842061|2021-02-19,Finland/797/2021|EPI_ISL_1842470|2021-02-01,Finland/1546/2021|EPI_ISL_1496996|2021-02-09,Finland/2239/2021|EPI_ISL_1841618|2021-02-13,Finland/HEL-19-579/2021|EPI_ISL_1279068|2021-01-27,Finland/1601/2021|EPI_ISL_1497040|2021-02-09,Finland/5035/2021|EPI_ISL_2258918|2021-03-11,Finland/1173/2021|EPI_ISL_1496817|2021-02-05,Finland/3332/2021|EPI_ISL_2258400|2021-02-24	3256,3638,10507,11291,13059,14646,15587,17615,19079,20550,20551,20553,23170,28559,28690,28744,29077
239830	Finland/2638/2021|EPI_ISL_1842085|2021-02-18,Finland/2630/2021|EPI_ISL_1842077|2021-02-18	3256,3638,10507,11291,13059,14646,15587,17615,19079,20550,20551,20553,23170,28559,28690,28744,29077
239861	Finland/1275/2021|EPI_ISL_1842287|2021-02-01,Finland/963/2021|EPI_ISL_1497196|2021-02-03,Finland/1908/2021|EPI_ISL_1842555|2021-02-10,Finland/HEL-12-101/2021|EPI_ISL_995945|2021-01-15,Finland/887/2021|EPI_ISL_1842346|2021-02-01,Finland/HEL-14-380/2021|EPI_ISL_1081991|2021-01-22,Finland/HEL-14-383/2021|EPI_ISL_1081972|2021-01-22,Finland/1086/2021|EPI_ISL_1496769|2021-02-04,Finland/1113/2021|EPI_ISL_1496780|2021-02-05,Finland/HEL-15-258/2021|EPI_ISL_1082008|2021-01-22	913,3256,3267,5388,6954,15279,16176,17615,19079,19854,23604,23709,24506,28048,28280,28281,28282,28559,28744,28977,29077
239862	Finland/HEL-16-314/2021|EPI_ISL_995849|2021-01-16,Estonia/16415743/2021|EPI_ISL_1685411|2021-03-17,Finland/HEL-16-321/2021|EPI_ISL_995855|2021-01-17,Finland/HEL-21-673/2021|EPI_ISL_1279083|2021-01-29,Finland/HEL-10-8/2021|EPI_ISL_1278980|2021-01-10,Finland/5123/2021|EPI_ISL_2258714|2021-03-12,Finland/HEL4-59/2020|EPI_ISL_833207|2020-12-30,Finland/5107/2021|EPI_ISL_2258700|2021-03-12,Finland/HEL-12-63/2021|EPI_ISL_995951|2021-01-10,Finland/1138/2021|EPI_ISL_1496797|2021-02-05	3256,3267,5388,5986,6954,9867,14676,15279,16176,16500,17615,19079,19854,20262,21846,22320,23063,23604,23709,24506,27532,27925,27972,28048,28111,28280,28281,28282,28559,28744,28869,28881,28882,28883,28975,28977,29077
239863	Finland/TRE23196_1/2021|EPI_ISL_1585283|2021-03-17,Finland/TRE224178_6/2021|EPI_ISL_2153103|2021-03-20	3256,3267,5388,5986,6954,9867,14676,15279,16176,16500,17615,19079,19854,20262,21846,22320,23063,23604,23709,24506,27532,27925,27972,28048,28111,28280,28281,28282,28559,28744,28869,28881,28882,28883,28975,28977,29077,913
240136	Portugal/PT3535/2021|EPI_ISL_1116666|2021-02-14,Portugal/PT3534/2021|EPI_ISL_1116665|2021-02-13	4503,9856,16391,19079,19854,21770,23323,25660,26730,27400,27403,27406,29109
240137	Portugal/PT5832/2021|EPI_ISL_1739123|2021-04-09	4503,9856,16391,19079,19854,21770,23323,25660,26730,27400,27403,27406,29109
240142	Portugal/PT4282/2021|EPI_ISL_1400170|2021-03-04,Portugal/PT4281/2021|EPI_ISL_1400169|2021-03-04	343,1722,3177,9979,11291,11296,17615,18029,19079,19854,23323,25660,27382,27383,27384
240143	Portugal/PT7091/2021|EPI_ISL_2004227|2021-04-12,Portugal/PT4292/2021|EPI_ISL_1400171|2021-03-02,Portugal/PT4305/2021|EPI_ISL_1400173|2021-03-15,Portugal/PT5548/2021|EPI_ISL_1738890|2021-04-05,Portugal/PT7099/2021|EPI_ISL_2004235|2021-04-03,Portugal/PT6358/2021|EPI_ISL_1853569|2021-04-20,Portugal/PT7142/2021|EPI_ISL_2004278|2021-04-18,Portugal/PT6674/2021|EPI_ISL_1853571|2021-04-06,Portugal/PT5842/2021|EPI_ISL_1739133|2021-04-09,Portugal/PT5839/2021|EPI_ISL_1739130|2021-04-08	343,1722,3177,9979,11291,11296,17615,18029,19079,19854,23323,25660,27382,27383,27384
240170	USA/CA-CDC-FG-011840/2021|MW910834.1|21-03-17,USA/CA-CDC-LC0027873/2021|MW908551.1|21-03-07,USA/FL-CDC-STM-000027981/2021|MW840935.1|21-03-03,USA/ID-IBL-717880/2021|EPI_ISL_1405714|2021-03-16,USA/NV-CDC-21709455/2021|MW720704.1|21-02-02,USA/CO-CDPHE-2100376181/2021|MW684641.1|21-02-09,USA/CA-CDC-FG-006592/2021|MW910635.1|21-03-02,USA/CA-RD593-CV0090/2021|EPI_ISL_1134901|2021-02-03,USA/CA-SC-210595/2021|EPI_ISL_1664282|2021-03-31,England/LOND-13230A7/2021|21-01-08	913,5388,5986,6954,8956,10323,15279,16176,17615,19079,19854,21801,23271,23323,23604,23664,23709,24506,24914,25660,25687,27483,27972,28048,28111,28280,28281,28282,3267,14676,28095,8809,21993,23063,24432,25517,25563,27925,21846,22320,9867,16500,20262,11296,21766,21770,11288,11291,21767,21768,21992,28274,28275
240179	USA/CA-CDC-STM-000008644/2021|MW662531.1|21-02-02,USA/CA-CDC-STM-000009221/2021|MW721338.1|21-02-05,USA/CA-CDC-STM-000012043/2021|MW963482.1|21-02-10	913,5388,5986,6954,8956,10323,15279,16176,17615,19079,19854,21801,23271,23323,23604,23664,23709,24506,24914,25660,25687,27483,27972,28048,28111,28280,28281,28282,3267,14676,28095,8809,21993,23063,24432,25517,25563,27925,21846,22320,9867,16500,20262
240240	USA/WA-PHL-000501/2021|EPI_ISL_1747438|2021-04-12,USA/UT-UPHL-2105634492/2021|EPI_ISL_2292966|2021-04-30,USA/WA-UW-21042869410/2021|MZ278181.1|2021-04-28,USA/WA-S5897/2021|MW931584.1|21-03-28,USA/WA-UW-2021041351909/2021|MZ233097.1|2021-04-13,USA/WA-S7140/2021|MZ158470.1|21-04-22,USA/WA-UW-2021041347626/2021|MZ233273.1|2021-04-13,USA/WY-WYPHL21031741/2021|EPI_ISL_2018104|2021-05-03,USA/WA-UW-21042576556/2021|MZ192154.1|2021-04-25,USA/WA-S7077/2021|EPI_ISL_2011484|2021-04-16	8956,11296,21766,21770,23323,25660,25687,27483,11288,11291,21767,21768,21992,21993,28274,28275,28281
240413	England/CAMC-11AA8C0/2021|21-01-25,England/CAMC-11AA3FC/2021|21-01-27	1643,2587,10889,17615,18768,19079,19726,19854,23323,23897,25660,27294,28095,28207,28251,28254
240510	Italy/APU-POLBA14/2021|EPI_ISL_949184|2021-01-27,Italy/APU-POLBA10/2021|EPI_ISL_949182|2021-01-18,Italy/APU-IZSPB-1132PT/2021|EPI_ISL_1819222|2021-04-20	3638,7292,11291,12067,17615,19079,19854,21468,23323,24863,25660,28269,28270,28271
240512	Italy/APU-POLBA15/2021|EPI_ISL_949185|2021-01-27,Italy/APU-POLBA18/2021|EPI_ISL_949188|2021-01-20	3638,7292,11291,12067,17615,19079,19854,21468,23323,24863,25660,28269,28270,28271,4965,5834,11296,14408,15096,16794,24109,25667,28095
240728	Germany/HH-RKI-I-023469/2021|EPI_ISL_1153636|2021-02-19,Germany/BW-RKI-I-043423/2021|EPI_ISL_1350611|2021-03-12,Germany/BW-RKI-I-149398/2021|EPI_ISL_2261083|2021-04-15,Germany/HH-RKI-I-026603/2021|EPI_ISL_1156789|2021-02-11,Germany/HH-HPI-p4398/2021|EPI_ISL_1464221|2021-02-18,Germany/SN-RKI-I-044922/2021|EPI_ISL_1352345|2021-03-09,Germany/BY-RKI-I-021271/2021|EPI_ISL_1151435|2021-02-11	913,5388,5986,6954,10323,11291,11296,12071,15279,16176,17615,19079,19854,21801,23271,23604,23664,23709,24506,24914,25660,26727,27972,28048,28111,28280,28281,28282,3267,14676,28095,8809,21993,23063,24432,25517,25563,27925,21846,22320,9867,16500,20262
240729	Germany/HH-RKI-I-023466/2021|EPI_ISL_1153633|2021-02-19,Germany/HH-RKI-I-023487/2021|EPI_ISL_1153654|2021-02-19	913,5388,5986,6954,10323,11291,11296,12071,15279,16176,17615,19079,19854,21801,23271,23604,23664,23709,24506,24914,25660,26727,27972,28048,28111,28280,28281,28282,3267,14676,28095,8809,21993,23063,24432,25517,25563,27925,21846,22320,9867,16500,20262
240918	Sweden/75678222R9/2021|EPI_ISL_1417772|2021-02-18	4543,7097,10036,11288,11291,11296,17615,19079,19207,19854,22227,28744,29440,5020,15096,21302,21304,21663,21664,21665,21721,22104,25785,28095,28739,29764
240920	Sweden/8117443104/2021|EPI_ISL_1831992|2021-02-09,Sweden/14431377P/2021|EPI_ISL_1420201|2021-02-17,Sweden/9435462163/2021|EPI_ISL_1602173|2021-03-08,Sweden/2344788076/2021|EPI_ISL_1808122|2021-02-24,Sweden/9435726963/2021|EPI_ISL_1602182|2021-03-09,Sweden/5811322675/2021|EPI_ISL_1807763|2021-02-22,Sweden/75722665R9/2021|EPI_ISL_1605771|2021-03-22,Sweden/75694271R9/2021|EPI_ISL_1603701|2021-03-02,Sweden/15054443P/2021|EPI_ISL_1809776|2021-03-08,Sweden/4009794264/2021|EPI_ISL_1603920|2021-03-12	3177,4543,5515,5907,7097,10036,11288,11291,11296,16853,17615,19079,19854,23638,25621,25904,26491,26492,26497,28732,29440
240993	Sweden/3930365364/2021|EPI_ISL_1420037|2021-03-03,Sweden/3932889464/2021|EPI_ISL_1601451|2021-03-08	4543,5020,5515,5812,11288,11291,11296,15096,17615,19079,19854,21077,21137,21302,21304,21663,21664,21665,21721,22104,25621,25785,28095,28732,28739,29440,29764
241003	Sweden/DC107875191/2021|EPI_ISL_1603950|2021-03-03	4543,11288,11291,11296,17615,19079,19207,22227,25621,28732,28744,29440,5020,15096,21302,21304,21663,21664,21665,21721,22104,25785,28095,28739,29764
241029	Sweden/DC107572361/2021|EPI_ISL_1600887|2021-02-22,Sweden/3928191063/2021|EPI_ISL_1420003|2021-03-01	3177,4543,5515,5907,7097,10036,11288,11291,11296,16853,17615,19079,19854,23638,25621,25904,26491,26492,26497,28732,29440
241284	Germany/NW-RKI-I-139358/2021|EPI_ISL_2123918|2021-01-19,Germany/NW-RKI-I-139411/2021|EPI_ISL_2123969|2021-01-19,Germany/NW-RKI-I-139321/2021|EPI_ISL_2123881|2021-01-19	8956,11296,21766,21770,23323,25660,25687,27483
241430	Denmark/DCGC-79905/2021|EPI_ISL_1888546|2021-03-22,Denmark/DCGC-77125/2021|EPI_ISL_1885696|2021-03-22,Denmark/DCGC-62511/2021|EPI_ISL_1871082|2021-03-29,Denmark/DCGC-68630/2021|EPI_ISL_1877201|2021-03-22,Denmark/DCGC-71269/2021|EPI_ISL_1879840|2021-03-22,Denmark/DCGC-69903/2021|EPI_ISL_1878474|2021-03-22,Denmark/DCGC-56316/2021|EPI_ISL_1864816|2021-03-15,Denmark/DCGC-61738/2021|EPI_ISL_1870309|2021-03-29,Denmark/DCGC-81044/2021|EPI_ISL_1889686|2021-03-22,Denmark/DCGC-52146/2021|EPI_ISL_1860200|2021-03-22	669,1263,3177,5077,9073,9300,11140,11296,11750,14805,15183,16605,17615,19854,19963,21767,22054,22093,25839,27389,28245,28251,28254,2270,12076,21770
241440	Denmark/DCGC-74209/2021|EPI_ISL_1882780|2021-03-29,Denmark/DCGC-75873/2021|EPI_ISL_1884444|2021-03-29	669,1263,3177,5077,9073,9300,11140,11296,11750,14805,15183,16605,17615,19854,19963,21767,22054,22093,25839,27389,28245,28251,28254,2270,12076,21770
241497	Germany/un-RKI-I-061823/2021|EPI_ISL_1567272|2021-03-30	3267,3539,5388,5986,17276,19854,23063,24506,28048,28977
241720	Sweden/21-50520/2021|EPI_ISL_1008450|2021-01-22	1616,4754,6302,6401,11876,14454,15063,17339,18399,21367,21759,23834,26882,28251,28252,28254
241723	Sweden/1411304734/2021|EPI_ISL_1617790|2021-02-18,Sweden/14766484P/2021|EPI_ISL_1808804|2021-02-28,Sweden/15590334P/2021|EPI_ISL_1899579|2021-03-22,Sweden/7831714212/2021|EPI_ISL_1808423|2021-03-01,Sweden/5034706316/2021|EPI_ISL_1898842|2021-03-16,Sweden/10047087/2021|EPI_ISL_2032684|2021-04-02,Sweden/4684888896/2021|EPI_ISL_2032327|2021-03-22,Sweden/9849603700/2021|EPI_ISL_2205419|2021-03-31,Sweden/10047323/2021|EPI_ISL_2206412|2021-04-04,Sweden/10047509/2021|EPI_ISL_2206413|2021-04-04	285,1616,2040,4754,6302,6401,11876,15063,17339,18399,21759,23834,26882,28251,28252,28254,28269,29466,5629,6272,6274,22005
241735	Sweden/6330149912/2021|EPI_ISL_1618219|2021-02-12	1616,6302,6401,15063,17339,18399,21759,23834,26882,28251,28252,28254,28269
241792	Sweden/SE00390110/2021|EPI_ISL_1749068|2021-03-30,Sweden/SE00397800/2021|EPI_ISL_1749072|2021-04-01,Sweden/SE00395169/2021|EPI_ISL_1749080|2021-03-31,Sweden/SE00387721/2021|EPI_ISL_1749064|2021-03-29	1616,4754,6302,6401,11876,14454,15063,17339,18399,21367,21759,23834,26882,28251,28252,28254,7600,11288,11291,11296,17615,19854,21770,27502,27505,285,2040,28269,29466
241793	Sweden/SUS0000847/2021|EPI_ISL_1629687|2021-04-10	1616,4754,6302,6401,11876,14454,15063,17339,18399,21367,21759,23834,26882,28251,28252,28254,7600,11288,11291,11296,17615,19854,21770,27502,27505
241794	Sweden/16433289P/2021|EPI_ISL_2208164|2021-04-12,Sweden/15234577P/2021|EPI_ISL_1899304|2021-03-12	285,1616,2040,4754,6302,6401,11876,15063,17339,18399,21759,23834,26882,28251,28252,28254,28269,29466
241901	Sweden/461847169901/2021|EPI_ISL_1749101|2021-04-01,Sweden/3934875464/2021|EPI_ISL_1748687|2021-03-10,Sweden/3937855964/2021|EPI_ISL_1748768|2021-03-16,Sweden/3943749864/2021|EPI_ISL_1749014|2021-03-24	5629,6272,6274,22005,28251,28252,28254,28269
241902	Sweden/15398992P/2021|EPI_ISL_1899537|2021-03-17,Sweden/15118663P/2021|EPI_ISL_1808926|2021-03-10,Sweden/15174800P/2021|EPI_ISL_1899544|2021-03-11,Sweden/15463727P/2021|EPI_ISL_1899572|2021-03-18,Sweden/15460388P/2021|EPI_ISL_1899573|2021-03-18	5629,6272,6274,22005,28251,28252,28254,28269
241951	Sweden/4012778564/2021|EPI_ISL_1748881|2021-03-19,Sweden/3937410564/2021|EPI_ISL_1748750|2021-03-15,Sweden/3937057364/2021|EPI_ISL_1748528|2021-03-15,Sweden/4010810364/2021|EPI_ISL_1748457|2021-03-09,Sweden/75704147R9/2021|EPI_ISL_1748405|2021-03-09,Sweden/75704750R9/2021|EPI_ISL_1748408|2021-03-09,Sweden/4009767864/2021|EPI_ISL_1748615|2021-03-11	5023,6568,7600,9529,11288,11291,11296,15024,19854,20962,21766,22094,26730,27505,28252,28254
242330	England/ALDP-100EBD1/2021|OD943478.1|2021-01-11,England/MILK-EB3EC8/2021|OD927561.1|2021-01-02	913,1059,1314,3267,3924,5388,5986,6091,6954,9928,10319,11296,13536,13694,14676,15279,16176,17615,17733,18424,18932,19854,20668,21302,21304,21305,23063,23271,23335,23604,23709,24506,24914,25413,25563,25907,26060,27964,27972,28048,28111,28280,28281,28282,28472,28869,28881,28882,28883,28977,29203
242331	England/MILK-11D84C5/2021|OD964456.1|2021-01-29,England/MILK-11D842F/2021|OD964548.1|2021-01-29	913,1059,1314,3267,3924,5388,5986,6091,6954,9928,10319,11296,13536,13694,14676,15279,16176,17615,17733,18424,18932,19854,20668,21302,21304,21305,23063,23271,23335,23604,23709,24506,24914,25413,25563,25907,26060,27964,27972,28048,28111,28280,28281,28282,28472,28869,28881,28882,28883,28977,29203
242436	England/WSFT-25CF011/2021|21-02-18,England/WSFT-25CEFBB/2021|21-02-18,England/WSFT-25D4019/2021|21-02-25,England/WSFT-25CD417/2021|21-02-02,England/WSFT-25CFAE6/2021|21-02-18,England/WSFT-25CD541/2021|21-02-02,England/WSFT-25CFB7A/2021|21-02-08	784,2110,3876,7042,11122,11291,14120,17615,18465,19366,22432,28095,29477
243510	USA/WI-CDC-LC0045738/2021|MZ070612.1|2021-04-10,USA/IL-CDC-LC0046893/2021|MZ071236.1|2021-04-12	529,575,7299,14676,15096,15279,16468,17615,21766,21770,21993,22011,23709,26606,27461,28095,28877,28878
243575	Italy/CAM-CRGS-683/2021|EPI_ISL_1577316|2021-02-14,Italy/CAM-TIGEM-2719/2021|EPI_ISL_1061206|2021-02-10,Italy/CAM-TIGEM-2717/2021|EPI_ISL_1061193|2021,Italy/CAM-TIGEM-2738/2021|EPI_ISL_1061168|2021,Italy/CAM-TIGEM-2730/2021|EPI_ISL_1061195|2021,Italy/CAM-TIGEM-2733/2021|EPI_ISL_1061197|2021,Italy/CAM-TIGEM-2737/2021|EPI_ISL_1061170|2021,Italy/CAM-TIGEM-2731/2021|EPI_ISL_1061196|2021,Italy/CAM-TIGEM-2716/2021|EPI_ISL_1061207|2021-02-10,Italy/CAM-TIGEM-2728/2021|EPI_ISL_1061137|2021	6033,6652,6672,10507,11291,11296,12162,13059,13958,14646,14898,14916,16457,17615,21466,23277,24506,28048,28195,28690,29171
243576	Italy/CAM-CRGS-559/2021|EPI_ISL_1361611|2021-01-21	1249,6033,6652,6672,10507,11291,11296,12162,13059,13958,14646,14898,14916,17615,21466,24506,27442,28048,28195,28690,16457,23277,29171
243580	Italy/CAM-CRGS-509/2021|EPI_ISL_1361560|2021-02-19,Italy/CAM-CRGS-469/2021|EPI_ISL_1361520|2021-02-12,Italy/CAM-CRGS-506/2021|EPI_ISL_1361557|2021-02-17,Italy/LIG-CRGS-1/2020|EPI_ISL_1366498|2021-02-16,Italy/LIG-CRGS-1/2021|EPI_ISL_1360389|2021-02-16	6033,6652,6672,10507,11291,13059,13958,14646,14898,14916,21466,22951,24506,27972,28111,28195,28690,3638,22249
243582	Italy/CAM-CRGS-502/2021|EPI_ISL_1361553|2021-02-19	2449,6652,6672,10507,11291,11296,13059,14646,22249,22951,26474,26492,28195,28690
243586	Italy/CAM-CRGS-487/2021|EPI_ISL_1361538|2021-02-15,Italy/CAM-CRGS-480/2021|EPI_ISL_1361531|2021-02-11,Italy/CAM-CRGS-481/2021|EPI_ISL_1361532|2021-02-11,Italy/CAM-CRGS-485/2021|EPI_ISL_1361536|2021-02-16	6033,6652,6672,13958,14898,14916,16467,21466,21770,22951,24506,27494,28048,28195
243727	USA/MI-UM-10038924965/2021|EPI_ISL_1493047|2021-03-23,USA/FL-CDC-ASC210054937/2021|MZ211721.1|2021-04-09,USA/MI-UM-10038830305/2021|EPI_ISL_1406259|2021-03-17,USA/MI-CDC-QDX23572675/2021|MW959546.1|21-04-02,USA/MI-CDC-ASC210046839/2021|MZ082990.1|2021-04-03	2466,3638,4886,10834,11288,11289,11290,11291,16468,17615,18891,23356,25487,28280,28281,28282
244922	Switzerland/SZ-ETHZ-550735/2020|EPI_ISL_1597973|2021-03-18,USA/MI-CDC-STM-000042272/2021|EPI_ISL_1576213|2021-03-22,USA/MI-CDC-STM-000065852/2021|MZ228690.1|2021-04-27,USA/TN-CDC-ASC210040579/2021|MW991346.1|21-04-01,USA/MI-CDC-ASC210007947/2021|MW967127.1|2021-03-16,USA/MI-CDC-ASC210041959/2021|MZ033153.1|21-04-02,USA/MI-CDC-QDX23572547/2021|MW964801.1|21-04-01,USA/MI-CDC-STM-000035726/2021|MW908408.1|21-03-14,Switzerland/ZH-UZH-IMV-3ba47f9e/2021|EPI_ISL_2086845|2021-04-28,USA/MI-CDC-ASC210025175/2021|MZ023460.1|21-03-28	695,1643,4582,10277,11296,17615,18863,20907,21993,25565,25566,25568,25569,28095,28245,28251,28254,28310,29013,29708
244931	USA/MI-CDC-STM-000059893/2021|MZ154310.1|21-04-19,USA/CA-CDC-FG-024915/2021|MZ183354.1|2021-04-17	695,1643,4582,10277,11296,17615,18863,20907,21993,25565,25566,25568,25569,28095,28245,28251,28254,28310,29013,29708
245164	Germany/RP-USAFSAM-S0751/2021|EPI_ISL_1091605|2021-02-01,USA/IA-SHL-1576764/2021|EPI_ISL_979458|2021-01-27,USA/1576764/2021|MZ262463.1|21-01-27	913,1059,1927,3267,5388,5852,5986,6954,7162,10319,11296,12708,14676,15279,16176,17615,17762,18424,21901,23063,23271,23604,23709,24506,24914,25244,25521,25563,25566,25907,27964,27972,28048,28111,28280,28281,28282,28472,28869,28881,28882,28883,28977,29782,29783,29786,4964,9096,9103,9344,12162,13356,13768
245165	Germany/RP-USAFSAM-S0757/2021|EPI_ISL_1091608|2021-01-31,Germany/RP-USAFSAM-S0759/2021|EPI_ISL_1091609|2021-01-31,Germany/HE-USAFSAM-S0760/2021|EPI_ISL_1091610|2021-02-01	5025,11296,17615,17762,19572,21901,24374,25460,25566,26520,27398,29753,29782,29783,29786,913,1059,1927,3267,5388,5852,5986,6954,7162,10319,12708,14676,15279,16176,18424,23063,23271,23604,23709,24506,24914,25244,25521,25563,25907,27964,27972,28048,28111,28280,28281,28282,28472,28869,28881,28882,28883,28977,4964,9096,9103,9344,12162,13356,13768
245615	England/CAMC-1072516/2021|OD947644.1|2021-01-16,England/MILK-EB4841/2021|OD927599.1|2021-01-02,England/CAMC-1062F2A/2021|OD978413.1|2021-01-15,England/CAMC-11AC503/2021|21-01-25,England/CAMC-10C18A6/2021|OD948208.1|2021-01-19,England/CAMC-127F9EE/2021|OD988302.1|2021-02-12	1461,3335,4999,9541,11296,21302,21304,21305,21727,23191,26270,8603,24865,25437,29685
